zipcode,year,month,crime_rate
02113,2016,4,0.0041
02113,2016,5,0.0063
02113,2016,6,0.0065
02113,2016,7,0.0072
02113,2016,8,0.0084
02113,2016,9,0.0064
02113,2016,10,0.0053
02113,2016,11,0.0036
02113,2016,12,0.006
02113,2017,1,0.004
02113,2017,2,0.0059
02113,2017,3,0.0045
02113,2017,4,0.0067
02113,2017,5,0.0087
02113,2017,6,0.0055
02113,2017,7,0.0067
02113,2017,8,0.0071
02113,2017,9,0.0079
02113,2017,10,0.0083
02113,2017,11,0.006
02113,2017,12,0.0065
02113,2018,1,0.0063
02113,2018,2,0.0049
02113,2018,3,0.0071
02113,2018,4,0.0064
02113,2018,5,0.0087
02113,2018,6,0.008
02113,2018,7,0.0069
02113,2018,8,0.0088
02113,2018,9,0.0076
02113,2018,10,0.0008
02114,2015,6,0.0034
02114,2015,7,0.0043
02114,2015,8,0.0058
02114,2015,9,0.0055
02114,2015,10,0.0058
02114,2015,11,0.0059
02114,2015,12,0.0053
02114,2016,1,0.0051
02114,2016,2,0.0037
02114,2016,3,0.0056
02114,2016,4,0.0051
02114,2016,5,0.0068
02114,2016,6,0.0065
02114,2016,7,0.0062
02114,2016,8,0.0065
02114,2016,9,0.0055
02114,2016,10,0.005
02114,2016,11,0.0056
02114,2016,12,0.0039
02114,2017,1,0.0052
02114,2017,2,0.0049
02114,2017,3,0.0039
02114,2017,4,0.0045
02114,2017,5,0.0048
02114,2017,6,0.0056
02114,2017,7,0.0062
02114,2017,8,0.0067
02114,2017,9,0.0062
02114,2017,10,0.0041
02114,2017,11,0.0046
02114,2017,12,0.0048
02114,2018,1,0.0058
02114,2018,2,0.0036
02114,2018,3,0.003
02114,2018,4,0.0055
02114,2018,5,0.0057
02114,2018,6,0.0057
02114,2018,7,0.0056
02114,2018,8,0.006
02114,2018,9,0.0051
02114,2018,10,0.0003
02115,2015,6,0.0023
02115,2015,7,0.0052
02115,2015,8,0.0061
02115,2015,9,0.0048
02115,2015,10,0.0048
02115,2015,11,0.005
02115,2015,12,0.0045
02115,2016,1,0.0042
02115,2016,2,0.0042
02115,2016,3,0.0051
02115,2016,4,0.0049
02115,2016,5,0.0057
02115,2016,6,0.0048
02115,2016,7,0.0057
02115,2016,8,0.0055
02115,2016,9,0.0059
02115,2016,10,0.0045
02115,2016,11,0.0039
02115,2016,12,0.0041
02115,2017,1,0.0037
02115,2017,2,0.0032
02115,2017,3,0.0038
02115,2017,4,0.0048
02115,2017,5,0.0042
02115,2017,6,0.0052
02115,2017,7,0.0049
02115,2017,8,0.0052
02115,2017,9,0.005
02115,2017,10,0.0037
02115,2017,11,0.004
02115,2017,12,0.0039
02115,2018,1,0.0038
02115,2018,2,0.0033
02115,2018,3,0.0038
02115,2018,4,0.0056
02115,2018,5,0.0047
02115,2018,6,0.0057
02115,2018,7,0.0067
02115,2018,8,0.0049
02115,2018,9,0.0053
02115,2018,10,0.0005
02116,2015,6,0.0044
02116,2015,7,0.0086
02116,2015,8,0.0082
02116,2015,9,0.009
02116,2015,10,0.0095
02116,2015,11,0.0078
02116,2015,12,0.0084
02116,2016,1,0.008
02116,2016,2,0.0073
02116,2016,3,0.0074
02116,2016,4,0.0087
02116,2016,5,0.008
02116,2016,6,0.0071
02116,2016,7,0.0082
02116,2016,8,0.0077
02116,2016,9,0.0095
02116,2016,10,0.0088
02116,2016,11,0.008
02116,2016,12,0.0078
02116,2017,1,0.0087
02116,2017,2,0.0066
02116,2017,3,0.0075
02116,2017,4,0.0085
02116,2017,5,0.0082
02116,2017,6,0.0073
02116,2017,7,0.0082
02116,2017,8,0.0076
02116,2017,9,0.0078
02116,2017,10,0.0087
02116,2017,11,0.0062
02116,2017,12,0.0075
02116,2018,1,0.0078
02116,2018,2,0.0057
02116,2018,3,0.0075
02116,2018,4,0.0067
02116,2018,5,0.0075
02116,2018,6,0.0077
02116,2018,7,0.008
02116,2018,8,0.0071
02116,2018,9,0.0079
02116,2018,10,0.0006
02117,2015,6,0.1263
02117,2015,7,0.1869
02117,2015,8,0.1843
02117,2015,9,0.1717
02117,2015,10,0.1944
02117,2015,11,0.1869
02117,2015,12,0.197
02117,2016,1,0.1263
02117,2016,2,0.1136
02117,2016,3,0.1667
02117,2016,4,0.1237
02117,2016,5,0.1187
02117,2016,6,0.1364
02117,2016,7,0.1667
02117,2016,8,0.2096
02117,2016,9,0.154
02117,2016,10,0.1843
02117,2016,11,0.1515
02117,2016,12,0.1591
02117,2017,1,0.1212
02117,2017,2,0.1212
02117,2017,3,0.0934
02117,2017,4,0.1465
02117,2017,5,0.1692
02117,2017,6,0.1263
02117,2017,7,0.1667
02117,2017,8,0.1667
02117,2017,9,0.1869
02117,2017,10,0.1793
02117,2017,11,0.1389
02117,2017,12,0.1162
02117,2018,1,0.1187
02117,2018,2,0.1566
02117,2018,3,0.1414
02117,2018,4,0.1515
02117,2018,5,0.1692
02117,2018,6,0.1313
02117,2018,7,0.1667
02117,2018,8,0.197
02117,2018,9,0.1591
02117,2018,10,0.0126
02118,2015,6,0.0092
02118,2015,7,0.0184
02118,2015,8,0.016
02118,2015,9,0.016
02118,2015,10,0.0157
02118,2015,11,0.0165
02118,2015,12,0.0164
02118,2016,1,0.014
02118,2016,2,0.0139
02118,2016,3,0.0152
02118,2016,4,0.0132
02118,2016,5,0.0139
02118,2016,6,0.0155
02118,2016,7,0.0145
02118,2016,8,0.0147
02118,2016,9,0.0145
02118,2016,10,0.0162
02118,2016,11,0.0164
02118,2016,12,0.014
02118,2017,1,0.0156
02118,2017,2,0.0154
02118,2017,3,0.0145
02118,2017,4,0.0133
02118,2017,5,0.0157
02118,2017,6,0.0172
02118,2017,7,0.0183
02118,2017,8,0.0175
02118,2017,9,0.0172
02118,2017,10,0.0165
02118,2017,11,0.0137
02118,2017,12,0.0137
02118,2018,1,0.0141
02118,2018,2,0.0129
02118,2018,3,0.0154
02118,2018,4,0.0145
02118,2018,5,0.0181
02118,2018,6,0.0179
02118,2018,7,0.0166
02118,2018,8,0.0174
02118,2018,9,0.0167
02118,2018,10,0.0015
02119,2015,6,0.0126
02119,2015,7,0.0225
02119,2015,8,0.0218
02119,2015,9,0.0207
02119,2015,10,0.0233
02119,2015,11,0.0213
02119,2015,12,0.0206
