quarter,quarter_cnt,UCR_PART,Zip
2016Q1,60,"Non Part One",2026
2016Q1,1564,"Non Part One",2121
2016Q1,387,"Non Part One",2116
2016Q1,1003,"Non Part One",2130
2016Q1,648,"Non Part One",2125
2016Q1,974,"Non Part One",2124
2016Q1,361,"Non Part One",2150
2016Q1,956,"Non Part One",2126
2016Q1,382,"Non Part One",2134
2016Q1,245,"Non Part One",2110
2016Q1,162,"Non Part One",2114
2016Q1,89,"Non Part One",2117
2016Q1,860,"Non Part One",2127
2016Q1,202,"Non Part One",2108
2016Q1,79,"Non Part One",2201
2016Q1,528,"Non Part One",2135
2016Q1,296,"Non Part One",2129
2016Q1,494,"Non Part One",2120
2016Q1,1002,"Non Part One",2119
2016Q1,57,"Non Part One",2284
2016Q1,178,"Non Part One",2199
2016Q1,298,"Non Part One",2115
2016Q1,60,"Non Part One",2435
2016Q1,55,"Non Part One",2152
2016Q1,387,"Non Part One",2132
2016Q1,228,"Non Part One",1125
2016Q1,173,"Non Part One",2215
2016Q1,130,"Non Part One",2186
2016Q1,238,"Non Part One",2137
2016Q1,148,"Non Part One",2128
2016Q1,106,"Non Part One",2113
2016Q1,130,"Non Part One",2203
2016Q1,41,"Non Part One",2151
2016Q1,40,"Non Part One",2141
2016Q1,90,"Non Part One",2445
2016Q1,156,"Non Part One",2210
2016Q1,410,"Non Part One",2111
2016Q1,85,"Non Part One",2107
2016Q1,390,"Non Part One",2136
2016Q1,140,"Non Part One",2222
2016Q1,30,"Non Part One",2205
2016Q1,49,"Non Part One",2171
2016Q1,7,"Non Part One",2145
2016Q1,16,"Non Part One",2446
2016Q1,1,"Non Part One",2133
2016Q2,552,"Non Part One",1210
2016Q2,439,"Non Part One",2136
2016Q2,1130,"Non Part One",2118
2016Q2,1588,"Non Part One",2121
2016Q2,297,"Non Part One",2129
2016Q2,71,"Non Part One",2141
2016Q2,418,"Non Part One",2134
2016Q2,243,"Non Part One",2137
2016Q2,1133,"Non Part One",2122
2016Q2,98,"Non Part One",2284
2016Q2,1098,"Non Part One",2126
2016Q2,133,"Non Part One",2203
2016Q2,719,"Non Part One",2131
2016Q2,1090,"Non Part One",2119
2016Q2,734,"Non Part One",2125
2016Q2,1148,"Non Part One",2130
2016Q2,412,"Non Part One",2132
2016Q2,1067,"Non Part One",2124
2016Q2,84,"Non Part One",2201
2016Q2,101,"Non Part One",2186
2016Q2,205,"Non Part One",2110
2016Q2,516,"Non Part One",2135
2016Q2,504,"Non Part One",2120
2016Q2,405,"Non Part One",2109
2016Q2,228,"Non Part One",2215
2016Q2,220,"Non Part One",1125
2016Q2,734,"Non Part One",2127
2016Q2,201,"Non Part One",2114
2016Q2,57,"Non Part One",2171
2016Q2,437,"Non Part One",2116
2016Q2,389,"Non Part One",2111
2016Q2,236,"Non Part One",2108
2016Q2,77,"Non Part One",2152
2016Q2,74,"Non Part One",2026
2016Q2,442,"Non Part One",2150
2016Q2,104,"Non Part One",2222
2016Q2,190,"Non Part One",2199
2016Q2,183,"Non Part One",2128
2016Q2,106,"Non Part One",2113
2016Q2,155,"Non Part One",2210
2016Q2,82,"Non Part One",2107
2016Q2,112,"Non Part One",2445
2016Q2,51,"Non Part One",2151
2016Q2,336,"Non Part One",2115
2016Q2,19,"Non Part One",2205
2016Q2,95,"Non Part One",2117
2016Q2,48,"Non Part One",2435
2016Q2,23,"Non Part One",2145
2016Q2,9,"Non Part One",2446
2016Q2,2,"Non Part One",2133
2016Q3,1140,"Non Part One",2126
2016Q3,623,"Non Part One",1210
2016Q3,1547,"Non Part One",2121
2016Q3,1106,"Non Part One",2118
2016Q3,1136,"Non Part One",2130
2016Q3,410,"Non Part One",2132
2016Q3,669,"Non Part One",2127
2016Q3,1080,"Non Part One",2119
2016Q3,658,"Non Part One",2125
2016Q3,68,"Non Part One",2026
2016Q3,290,"Non Part One",2110
2016Q3,352,"Non Part One",2129
2016Q3,93,"Non Part One",2222
2016Q3,1103,"Non Part One",2124
2016Q3,136,"Non Part One",2113
2016Q3,377,"Non Part One",2115
2016Q3,136,"Non Part One",2203
2016Q3,756,"Non Part One",2131
2016Q3,446,"Non Part One",2116
2016Q3,441,"Non Part One",2120
2016Q3,209,"Non Part One",2199
2016Q3,423,"Non Part One",2136
2016Q3,391,"Non Part One",2111
2016Q3,497,"Non Part One",2134
2016Q3,38,"Non Part One",2141
2016Q3,164,"Non Part One",2128
2016Q3,1165,"Non Part One",2122
2016Q3,136,"Non Part One",2186
2016Q3,431,"Non Part One",2109
2016Q3,191,"Non Part One",2114
2016Q3,513,"Non Part One",2135
2016Q3,173,"Non Part One",2210
2016Q3,12,"Non Part One",2145
2016Q3,220,"Non Part One",2215
2016Q3,400,"Non Part One",2150
2016Q3,240,"Non Part One",2137
2016Q3,71,"Non Part One",2435
2016Q3,278,"Non Part One",1125
