zipcode,year,UCR_PART,crime_rate
02119,2015,"Part Two",0.0546
02119,2016,Other,0.0006
02119,2016,"Part One",0.0466
02119,2016,"Part Three",0.1306
02119,2016,"Part Two",0.0911
02119,2017,Other,0.0016
02119,2017,"Part One",0.0444
02119,2017,"Part Three",0.1463
02119,2017,"Part Two",0.0995
02119,2018,Other,0.0008
02119,2018,"Part One",0.0344
02119,2018,"Part Three",0.1027
02119,2018,"Part Two",0.0768
02120,2015,Other,0.0001
02120,2015,"Part One",0.0196
02120,2015,"Part Three",0.0412
02120,2015,"Part Two",0.0237
02120,2016,Other,0.0009
02120,2016,"Part One",0.0292
02120,2016,"Part Three",0.0786
02120,2016,"Part Two",0.0414
02120,2017,Other,0.0008
02120,2017,"Part One",0.0267
02120,2017,"Part Three",0.0787
02120,2017,"Part Two",0.0388
02120,2018,Other,0.0004
02120,2018,"Part One",0.0148
02120,2018,"Part Three",0.0542
02120,2018,"Part Two",0.0242
02121,2015,Other,0.0007
02121,2015,"Part One",0.0281
02121,2015,"Part Three",0.0655
02121,2015,"Part Two",0.0456
02121,2016,Other,0.0014
02121,2016,"Part One",0.0405
02121,2016,"Part Three",0.1303
02121,2016,"Part Two",0.0722
02121,2017,Other,0.0015
02121,2017,"Part One",0.0401
02121,2017,"Part Three",0.1349
02121,2017,"Part Two",0.0691
02121,2018,Other,0.0013
02121,2018,"Part One",0.0298
02121,2018,"Part Three",0.1023
02121,2018,"Part Two",0.0508
02122,2015,Other,0.0004
02122,2015,"Part One",0.0235
02122,2015,"Part Three",0.0703
02122,2015,"Part Two",0.0559
02122,2016,Other,0.0012
02122,2016,"Part One",0.0451
02122,2016,"Part Three",0.1511
02122,2016,"Part Two",0.0925
02122,2017,Other,0.0019
02122,2017,"Part One",0.0443
02122,2017,"Part Three",0.1630
02122,2017,"Part Two",0.0818
02122,2018,Other,0.0013
02122,2018,"Part One",0.0319
02122,2018,"Part Three",0.1086
02122,2018,"Part Two",0.0562
02124,2015,Other,0.0002
02124,2015,"Part One",0.0081
02124,2015,"Part Three",0.0202
02124,2015,"Part Two",0.0161
